DATE,TOTAL_POINTS
2022-06-17,99598596
2022-06-18,115219330
2022-06-19,75000674
2022-06-20,92593492
2022-06-21,81856415
2022-06-22,84987054
2022-06-23,89689363
2022-06-24,100555170
2022-06-25,107218504
2022-06-26,78681046
2022-06-27,88708435
2022-06-28,76183594
2022-06-29,75874405
2022-06-30,82349432
2022-07-01,95184938
2022-07-02,99161751
2022-07-03,69659460
2022-07-04,85248152
2022-07-05,108288774
2022-07-06,77846652
2022-07-07,84973624
2022-07-08,96448344
2022-07-09,100006301
2022-07-10,73331396
2022-07-11,109745876
2022-07-12,84505964
2022-07-13,84504108
2022-07-14,86009119
2022-07-15,100242712
2022-07-16,107019928
2022-07-17,74533272
2022-07-18,88953168
2022-07-19,70132874
2022-07-20,84465125
2022-07-21,86050880
2022-07-22,94548888
2022-07-23,96743428
2022-07-24,68522132
2022-07-25,92416200
2022-07-26,75103246
2022-07-27,81808954
2022-07-28,90406872
2022-07-29,93749168
2022-07-30,95299014
2022-07-31,67773112
2022-08-01,91943237
2022-08-02,74213418
2022-08-03,76327527
2022-08-04,80954902
2022-08-05,87457688
2022-08-06,86749217
2022-08-07,64637396
2022-08-08,87656920
2022-08-09,78769208
2022-08-10,109978564
2022-08-11,84938370
2022-08-12,92349982
2022-08-13,91679492
2022-08-14,66269282
2022-08-15,95361982
2022-08-16,78608658
2022-08-17,80159382
2022-08-18,84601432
2022-08-19,88836026
2022-08-20,93626464
2022-08-21,64858082
2022-08-22,87516360
2022-08-23,74727594
2022-08-24,83125965
2022-08-25,90116381
2022-08-26,103303016
2022-08-27,109500678
2022-08-28,73376556
2022-08-29,92130264
2022-08-30,79149235
2022-08-31,75536876
2022-09-01,78481612
2022-09-02,87348866
2022-09-03,94288351
2022-09-04,69406928
2022-09-05,84508190
2022-09-06,74279478
2022-09-07,74812614
2022-09-08,78418656
2022-09-09,84877606
2022-09-10,93019150
2022-09-11,65663262
2022-09-12,82426924
2022-09-13,71622515
2022-09-14,73755307
2022-09-15,84324051
2022-09-16,95583403
2022-09-17,104097089
2022-09-18,77779509
2022-09-19,28407907
2022-09-20,87828522
2022-09-21,80942719
2022-09-22,87210968
2022-09-23,103464334
2022-09-24,106166369
2022-09-25,72259612
2022-09-26,90875965
2022-09-27,463896
