DATE,TOTAL_POINTS
2019-10-17,70528602
2019-10-18,77484255
2019-10-19,93353980
2019-10-20,78316303
2019-10-21,86615118
2019-10-22,73005594
2019-10-23,72070939
2019-10-24,76794315
2019-10-25,95998194
2019-10-26,97471185
2019-10-27,64098822
2019-10-28,73484407
2019-10-29,65521930
2019-10-30,215392810
2019-10-31,205931233
2019-11-01,188579312
2019-11-02,180455672
2019-11-03,165499332
2019-11-04,197166841
2019-11-05,188693117
2019-11-06,66378322
2019-11-07,72821538
2019-11-08,90378252
2019-11-09,101935501
2019-11-10,65281726
2019-11-11,75885197
2019-11-12,71677958
2019-11-13,858616576
2019-11-14,451660692
2019-11-15,478602034
2019-11-16,489266390
2019-11-17,358112286
2019-11-18,413272189
2019-11-19,366847868
2019-11-20,83598032
2019-11-21,94241394
2019-11-22,126407688
2019-11-23,140224200
2019-11-24,95291302
2019-11-25,117967233
2019-11-26,128809179
2019-11-27,132678607
2019-11-28,152634306
2019-11-29,207085628
2019-11-30,194476206
2019-12-01,132781961
2019-12-02,176614475
2019-12-03,161173982
2019-12-04,168244498
2019-12-05,197046199
2019-12-06,230907246
2019-12-07,234634416
2019-12-08,163141151
2019-12-09,213341384
2019-12-10,215718551
2019-12-11,266222559
2019-12-12,327996046
2019-12-13,401855905
2019-12-14,446438211
2019-12-15,300946829
2019-12-16,390785153
2019-12-17,419783512
2019-12-18,498424552
2019-12-19,765528406
2019-12-20,1143546922
2019-12-21,1301867326
2019-12-22,1025523760
2019-12-23,1892478777
2019-12-24,579063476
2019-12-25,5494186
2019-12-26,94300502
2019-12-27,210726191
2019-12-28,232146197
2019-12-29,145907016
2019-12-30,254147054
2019-12-31,207356184
2020-01-01,67708972
2020-01-02,154804830
2020-01-03,171496152
2020-01-04,176307238
2020-01-05,103748191
2020-01-06,108007000
2020-01-07,98857069
2020-01-08,98284551
2020-01-09,109165585
2020-01-10,128535735
2020-01-11,145347734
2020-01-12,89959465
2020-01-13,86751190
2020-01-14,78286738
2020-01-15,81092457
2020-01-16,86160010
2020-01-17,107358787
2020-01-18,123758101
2020-01-19,73031130
2020-01-20,70897445
2020-01-21,68597279
2020-01-22,74166216
2020-01-23,81735529
2020-01-24,95466619
2020-01-25,108527435
2020-01-26,68415184
2020-01-27,69613378
2020-01-28,66561178
2020-01-29,67426144
2020-01-30,72989471
2020-01-31,84537030
2020-02-01,94981328
2020-02-02,61185238
2020-02-03,63183015
2020-02-04,62206801
2020-02-05,64598584
2020-02-06,69999207
2020-02-07,79995126
2020-02-08,89696722
2020-02-09,51973338
2020-02-10,62115343
2020-02-11,66296021
2020-02-12,75761103
2020-02-13,85191905
2020-02-14,96850380
2020-02-15,98525426
2020-02-16,62031912
2020-02-17,72263052
2020-02-18,63456617
2020-02-19,65394183
2020-02-20,72112437
2020-02-21,84628326
2020-02-22,95528132
2020-02-23,60939949
2020-02-24,66557446
2020-02-25,63808410
2020-02-26,64869982
2020-02-27,69162044
2020-02-28,79157898
2020-02-29,92915198
2020-03-01,59514030
2020-03-02,65933016
2020-03-03,66205441
2020-03-04,68438135
2020-03-05,72503285
2020-03-06,85242959
2020-03-07,90763862
2020-03-08,61959000
2020-03-09,69670828
2020-03-10,67631783
2020-03-11,67277550
2020-03-12,81560833
2020-03-13,93373052
2020-03-14,106601460
2020-03-15,70528619
2020-03-16,88925316
2020-03-17,90858466
2020-03-18,85295506
2020-03-19,87963685
2020-03-20,74311866
2020-03-21,77133914
2020-03-22,42699936
2020-03-23,54598178
2020-03-24,36409496
2020-03-25,35946179
2020-03-26,35453518
2020-03-27,38007430
2020-03-28,37498436
2020-03-29,23822492
2020-03-30,32926118
2020-03-31,32217648
2020-04-01,33831933
2020-04-02,35344122
2020-04-03,39882108
2020-04-04,40660816
2020-04-05,26911082
2020-04-06,35996042
2020-04-07,37470778
2020-04-08,42007968
2020-04-09,51928931
2020-04-10,69771746
2020-04-11,46808158
2020-04-12,18261854
2020-04-13,39528517
2020-04-14,60906472
2020-04-15,80095451
2020-04-16,57790188
2020-04-17,54263036
2020-04-18,51283592
2020-04-19,32177972
2020-04-20,44261892
2020-04-21,44599374
2020-04-22,98468726
2020-04-23,71159386
2020-04-24,50682958
2020-04-25,45735820
2020-04-26,31420642
2020-04-27,41928660
2020-04-28,41715026
2020-04-29,40688255
2020-04-30,44169654
2020-05-01,44054396
2020-05-02,43222998
2020-05-03,30733756
2020-05-04,40459134
2020-05-05,40280332
2020-05-06,44325868
2020-05-07,45339047
2020-05-08,41369660
2020-05-09,43230824
2020-05-10,31588292
2020-05-11,41789904
2020-05-12,42660226
2020-05-13,44117538
2020-05-14,45513058
2020-05-15,48196920
2020-05-16,49059374
2020-05-17,33037316
2020-05-18,44179112
2020-05-19,46244290
2020-05-20,47060708
2020-05-21,50942134
2020-05-22,53199352
2020-05-23,58090872
2020-05-24,36173722
2020-05-25,42997588
2020-05-26,47245190
2020-05-27,48078894
2020-05-28,51043650
2020-05-29,51876958
2020-05-30,50039966
2020-05-31,33969314
2020-06-01,46621298
2020-06-02,44169704
2020-06-03,48320650
2020-06-04,49865712
2020-06-05,50861708
2020-06-06,52135388
2020-06-07,35121746
2020-06-08,45771348
2020-06-09,43993836
2020-06-10,48856058
2020-06-11,50276022
2020-06-12,53647688
2020-06-13,51977524
2020-06-14,34820316
2020-06-15,49199412
2020-06-16,50858620
2020-06-17,58633238
2020-06-18,64525004
2020-06-19,66316860
2020-06-20,63594556
2020-06-21,40900748
